filename,URL,md5,size
mainnet-geth-pbss-base-113615622.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/mainnet-geth-pbss-base-113615622.tar.lz4,cbff02999c07428dc75480fc2f49517d,1742.48GB
mainnet-geth-pbss-blocks-pruneancient-113525622.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/mainnet-geth-pbss-blocks-pruneancient-113525622.tar.lz4,8cacfd842b59ce6b7f21b53ba3db604b,0.00GB
